[2025-04-25 04:00:44] Player 0 is NOT on boss tile, calling getMonsterList
[2025-04-25 04:01:05] Player 66 is NOT on boss tile, calling getMonsterList
[2025-04-25 04:01:33] Player 66 is NOT on boss tile, calling getMonsterList
[2025-04-25 04:02:45] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 04:06:09] Player 52 is NOT on boss tile, calling getMonsterList
[2025-04-25 04:08:14] Player 52 is on boss tile, calling getMonsterListwithBoss
[2025-04-25 04:15:01] Player 52 is on boss tile, calling getMonsterListwithBoss
[2025-04-25 04:15:57] Player 52 is on boss tile, calling getMonsterListwithBoss
[2025-04-25 04:17:58] Player 52 is on boss tile, calling getMonsterListwithBoss
[2025-04-25 04:18:34] Player 52 is on boss tile, calling getMonsterListwithBoss
[2025-04-25 04:19:12] Player 52 is on boss tile, calling getMonsterListwithBoss
[2025-04-25 04:19:23] Player 52 is on boss tile, calling getMonsterListwithBoss
[2025-04-25 04:19:44] Player 52 is on boss tile, calling getMonsterListwithBoss
[2025-04-25 04:19:57] Player 52 is on boss tile, calling getMonsterListwithBoss
[2025-04-25 04:20:09] Player 52 is on boss tile, calling getMonsterListwithBoss
[2025-04-25 04:20:35] Player 52 is on boss tile, calling getMonsterListwithBoss
[2025-04-25 04:22:04] Player 52 is on boss tile, calling getMonsterListwithBoss
[2025-04-25 04:22:35] Player 52 is on boss tile, calling getMonsterListwithBoss
[2025-04-25 04:22:45] Player 52 is on boss tile, calling getMonsterListwithBoss
[2025-04-25 04:22:58] Player 52 is on boss tile, calling getMonsterListwithBoss
[2025-04-25 04:23:09] Player 52 is on boss tile, calling getMonsterListwithBoss
[2025-04-25 04:23:45] Player 52 is on boss tile, calling getMonsterListwithBoss
[2025-04-25 04:23:56] Player 52 is on boss tile, calling getMonsterListwithBoss
[2025-04-25 04:24:07] Player 52 is on boss tile, calling getMonsterListwithBoss
[2025-04-25 04:24:18] Player 52 is on boss tile, calling getMonsterListwithBoss
[2025-04-25 04:26:11] Player 52 is on boss tile, calling getMonsterListwithBoss
[2025-04-25 04:26:30] Player 52 is on boss tile, calling getMonsterListwithBoss
[2025-04-25 04:26:54] Player 52 is on boss tile, calling getMonsterListwithBoss
[2025-04-25 04:27:10] Player 52 is on boss tile, calling getMonsterListwithBoss
[2025-04-25 04:27:21] Player 52 is on boss tile, calling getMonsterListwithBoss
[2025-04-25 04:28:23] Player 52 is NOT on boss tile, calling getMonsterList
